Opening,Colour,Num Games,ECO,Last Played,Perf Rating,Avg Player,Player Win %,Draw %,Opponent Win %,Moves
"Sicilian Defense, Prins Variation",,3503,B54,2018-07-05,2285,2255,42.10%,31.90%,26.00%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.f3
"Sicilian Defense, Prins Variation, Venice Attack",,618,B55,2018-07-09,2311,2253,41.40%,29.10%,29.40%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.f3 e5 6.Bb5+
"Sicilian Defense, Richter-Rauzer Variation",,267,B62,2018-06-23,2407,2374,38.60%,31.80%,29.60%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5 e6 7.Qd3
"Sicilian Defense, Richter-Rauzer Variation, Classical Variation",,2388,B63,2018-06-26,2292,2331,28.90%,27.60%,43.50%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5 e6 7.Qd2 Be7
"Sicilian Defense, Richter-Rauzer Variation, Classical Variation",,829,B64,2018-06-27,2441,2383,39.80%,35.30%,24.90%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5 e6 7.Qd2 Be7 8.O-O-O O-O 9.f4
"Sicilian Defense, Richter-Rauzer Variation, Classical Variation",,1614,B65,2018-06-20,2440,2393,36.90%,39.60%,23.40%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5 e6 7.Qd2 Be7 8.O-O-O O-O 9.f4 Nxd4 10.Qxd4
"Sicilian Defense, Richter-Rauzer Variation, Classical Variation, Kantscher Line",,513,B66,2018-02-17,2381,2437,25.50%,39.00%,35.50%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5 e6 7.Qd2 Be7 8.O-O-O Nxd4 9.Qxd4 a6 10.f4 b5
"Sicilian Defense, Richter-Rauzer Variation, Dragon Variation",,208,B60,2018-05-21,2267,2311,23.60%,33.60%,42.80%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5 g6
"Sicilian Defense, Richter-Rauzer Variation, General",,2120,B60,2018-07-08,2302,2265,37.50%,26.90%,35.60%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5
"Sicilian Defense, Richter-Rauzer Variation, Ivanov Variation",,630,B63,2018-06-03,2371,2417,29.10%,37.90%,33.00%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5 e6 7.Qd2 Qb6
"Sicilian Defense, Richter-Rauzer Variation, Modern Variation",,867,B60,2018-07-03,2291,2335,30.20%,30.60%,39.20%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5 Bd7
"Sicilian Defense, Richter-Rauzer Variation, Modern Variation",,1972,B61,2018-07-06,2397,2341,39.50%,32.90%,27.70%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5 Bd7 7.Qd2
"Sicilian Defense, Richter-Rauzer Variation, Neo-Modern Variation",,611,B68,2018-06-16,2283,2350,32.70%,27.20%,40.10%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5 e6 7.Qd2 a6 8.O-O-O Bd7 9.f4 Be7
"Sicilian Defense, Richter-Rauzer Variation, Neo-Modern Variation",,5127,B67,2018-07-08,2337,2384,31.80%,29.40%,38.80%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5 e6 7.Qd2 a6 8.O-O-O Bd7
"Sicilian Defense, Richter-Rauzer Variation, Neo-Modern Variation, Early deviations",,4613,B62,2018-07-08,2344,2382,30.80%,32.30%,36.90%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5 e6 7.Qd2 a6
"Sicilian Defense, Richter-Rauzer Variation, Neo-Modern Variation, Nyezhmetdinov Attack",,447,B69,2018-07-06,2487,2431,40.30%,34.50%,25.30%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5 e6 7.Qd2 a6 8.O-O-O Bd7 9.f4 Be7 10.Nf3 b5 11.Bxf6
"Sicilian Defense, Richter-Rauzer Variation, Traditional Variation",,369,B63,2018-07-02,2361,2323,37.40%,32.50%,30.10%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5 e6 7.Qd2
"Sicilian Defense, Richter-Rauzer Variation, Vitolins Variation",,417,B62,2018-06-23,2320,2293,33.30%,32.10%,34.50%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5 e6 7.Bb5
"Sicilian Defense, Scheveningen Variation",,3650,B80,2018-06-29,2199,2229,38.00%,24.90%,37.10%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6
"Sicilian Defense, Scheveningen Variation, Classical Variation",,7620,B84,2018-07-06,2233,2262,34.80%,29.00%,36.10%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.Be2 a6
"Sicilian Defense, Scheveningen Variation, Classical Variation",,1312,B84,2018-07-03,2283,2314,37.40%,26.40%,36.10%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.Be2 a6 7.O-O Qc7
"Sicilian Defense, Scheveningen Variation, Classical Variation, General",,2311,B83,2018-06-29,2300,2275,33.80%,32.50%,33.70%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.Be2
"Sicilian Defense, Scheveningen Variation, Classical Variation, Paulsen Variation",,697,B85,2018-05-05,2402,2344,41.30%,32.70%,26.00%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.Be2 a6 7.O-O Qc7 8.f4 Nc6 9.Be3
"Sicilian Defense, Scheveningen Variation, Classical Variation, Paulsen Variation",,283,B85,2017-11-25,2390,2364,38.20%,33.20%,28.60%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.Be2 a6 7.O-O Qc7 8.f4 Nc6 9.Kh1 Be7 10.a4
"Sicilian Defense, Scheveningen Variation, Delayed Keres Attack",,1247,B81,2018-07-06,2417,2360,45.60%,26.10%,28.30%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.Be3 a6 7.g4
"Sicilian Defense, Scheveningen Variation, Delayed Keres Attack, Perenyi Gambit",,197,B81,2018-04-07,2463,2409,47.20%,22.80%,29.90%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.Be3 a6 7.g4 e5 8.Nf5 g6 9.g5
"Sicilian Defense, Scheveningen Variation, English Attack",,788,B80,2018-07-08,2328,2284,41.80%,22.30%,35.90%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.Be3 a6 7.Qd2
"Sicilian Defense, Scheveningen Variation, English Attack",,4994,B80,2018-07-05,2280,2239,43.10%,21.70%,35.30%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.Be3 a6 7.f3
"Sicilian Defense, Scheveningen Variation, Fianchetto Variation",,1403,B80,2018-07-08,2354,2333,33.80%,34.90%,31.30%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.g3
"Sicilian Defense, Scheveningen Variation, Keres Attack",,5228,B81,2018-07-07,2423,2353,46.70%,28.00%,25.30%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.g4
"Sicilian Defense, Scheveningen Variation, Matanovic Attack",,1372,B82,2018-07-08,2426,2369,41.70%,32.10%,26.20%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.f4
"Sicilian Defense, Scheveningen Variation, Modern Variation",,2633,B83,2018-07-01,2359,2325,30.30%,39.70%,30.00%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.Be2 Nc6 7.O-O Be7 8.Be3 O-O 9.f4
"Sicilian Defense, Scheveningen Variation, Modern Variation",,456,B83,2018-06-02,2416,2378,34.40%,35.50%,30.00%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.Be2 Nc6 7.O-O Be7 8.Be3 O-O 9.f4 Bd7 10.Nb3
"Sicilian Defense, Scheveningen Variation, Modern Variation, General",,1761,B83,2018-06-20,2263,2298,34.10%,32.60%,33.30%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.Be2 Nc6
"Sicilian Defense, Scheveningen Variation, Tal Variation",,524,B82,2018-06-30,2470,2376,50.60%,24.20%,25.20%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.f4 Nc6 7.Be3 Be7 8.Qf3
"Sicilian Defense, Scheveningen Variation, Vitolins Variation",,150,B80,2018-05-19,2041,2057,26.70%,22.70%,50.70%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.Bb5+
"Sicilian Defense, Smith-Morra Gambit Deferred",,380,B40,2018-06-27,2131,2090,33.70%,23.20%,43.20%,1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.c3
"Sicilian Defense, Smith-Morra Gambit",,2274,B21,2018-06-29,2000,1970,42.70%,17.30%,40.10%,1.e4 c5 2.d4 cxd4 3.c3
"Sicilian Defense, Smith-Morra Gambit, Accepted, Classical Formation",,362,B21,2018-06-15,2205,2192,55.80%,21.30%,22.90%,1.e4 c5 2.d4 cxd4 3.c3 dxc3 4.Nxc3 Nc6 5.Nf3 d6 6.Bc4 a6 7.O-O Nf6
"Sicilian Defense, Smith-Morra Gambit, Accepted, Fianchetto Defense",,202,B21,2018-06-16,1935,1983,34.60%,19.80%,45.50%,1.e4 c5 2.d4 cxd4 3.c3 dxc3 4.Nxc3 Nc6 5.Nf3 g6
"Sicilian Defense, Smith-Morra Gambit, Accepted, Kan Formation",,288,B21,2018-07-02,2167,2131,58.30%,15.30%,26.40%,1.e4 c5 2.d4 cxd4 3.c3 dxc3 4.Nxc3 e6 5.Nf3 a6
"Sicilian Defense, Smith-Morra Gambit, Accepted, Paulsen Formation",,713,B21,2018-07-06,2116,2160,47.50%,20.10%,32.40%,1.e4 c5 2.d4 cxd4 3.c3 dxc3 4.Nxc3 Nc6 5.Nf3 e6 6.Bc4 a6
"Sicilian Defense, Smith-Morra Gambit, Accepted, Pin Defense",,124,B21,2018-05-17,1966,1992,41.90%,20.20%,37.90%,1.e4 c5 2.d4 cxd4 3.c3 dxc3 4.Nxc3 Nc6 5.Nf3 e6 6.Bc4 Bb4
"Sicilian Defense, Smith-Morra Gambit, Accepted, Scheveningen Formation",,1217,B21,2018-06-24,2083,2112,39.30%,24.00%,36.70%,1.e4 c5 2.d4 cxd4 3.c3 dxc3 4.Nxc3 Nc6 5.Nf3 d6 6.Bc4 e6
"Sicilian Defense, Smith-Morra Gambit, Declined, Dubois Variation",,254,B21,2018-06-16,2137,2061,33.50%,29.50%,37.00%,1.e4 c5 2.d4 cxd4 3.c3 d3 4.c4
"Sicilian Defense, Smith-Morra Gambit, Declined, Push Variation",,1096,B21,2018-06-22,2049,2108,40.70%,25.30%,34.00%,1.e4 c5 2.d4 cxd4 3.c3 d3
"Sicilian Defense, Smith-Morra Gambit, Declined, Scandinavian Formation",,512,B21,2018-04-20,2058,2094,40.40%,26.40%,33.20%,1.e4 c5 2.d4 cxd4 3.c3 d5
"Sicilian Defense, Snyder Variation",,4325,B20,2018-07-07,2217,2217,37.10%,26.80%,36.10%,1.e4 c5 2.b3
"Sicilian Defense, Snyder Variation, Queen Fianchetto Variation",,352,B20,2018-07-05,2293,2331,37.50%,30.10%,32.40%,1.e4 c5 2.b3 b6
"Sicilian Defense, Sozin Attack, Flank Variation",,3668,B87,2018-06-23,2284,2304,39.00%,25.10%,35.90%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.Bc4 a6 7.Bb3 b5
"Sicilian Defense, Sozin Attack, General Variation",,1453,B86,2018-06-20,2225,2204,35.00%,25.10%,39.90%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.Bc4
"Sicilian Defense, Sozin Attack, Leonhardt Variation",,2071,B88,2018-07-02,2268,2293,37.40%,29.60%,33.00%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.Bc4 Nc6
"Sicilian Defense, Sozin Attack, Main Line",,2533,B89,2018-07-09,2353,2315,37.70%,26.10%,36.10%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.Bc4 Nc6 7.Be3
"Sicilian Defense, Staunton-Cochrane Variation",,2303,B20,2018-07-01,2023,2016,28.50%,23.80%,47.70%,1.e4 c5 2.c4
"Sicilian Defense, Velimirovic Attack",,1786,B89,2018-06-22,2382,2335,43.10%,23.50%,33.40%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.Bc4 Nc6 7.Be3 Be7 8.Qe2
"Sicilian Defense, Venice Attack",,295,B56,2018-06-02,2340,2273,47.80%,34.60%,17.60%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e5 6.Bb5+
"Sicilian Defense, Wing Gambit Deferred",,361,B40,2018-06-09,2212,2190,37.40%,18.60%,44.00%,1.e4 c5 2.Nf3 e6 3.b4
"Sicilian Defense, Wing Gambit",,705,B20,2018-06-16,2032,2055,36.50%,17.40%,46.10%,1.e4 c5 2.b4
"Sicilian Defense, Wing Gambit, Abrahams Variation",,166,B20,2018-05-05,2066,2077,28.90%,13.30%,57.80%,1.e4 c5 2.b4 cxb4 3.Bb2
"Sicilian Defense, Wing Gambit, Carlsbad Variation",,177,B20,2018-05-29,2109,2100,43.50%,16.90%,39.50%,1.e4 c5 2.b4 cxb4 3.a3 bxa3
"Sicilian Defense, Wing Gambit, Deferred Variation",,221,B50,2017-12-07,2149,2196,33.00%,18.10%,48.90%,1.e4 c5 2.Nf3 d6 3.b4
"Sicilian Defense, Wing Gambit, Marshall Variation",,662,B20,2018-07-01,2087,2097,33.70%,22.40%,44.00%,1.e4 c5 2.b4 cxb4 3.a3
"Slav Defense, Alapin Variation",,474,D16,2018-07-01,2311,2254,50.80%,24.30%,24.90%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4 5.a4
"Slav Defense, Alekhine Variation",,1028,D15,2018-06-27,2294,2281,35.60%,30.80%,33.60%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4 5.e3
"Slav Defense, Bonet Gambit",,161,D11,2018-05-13,1801,1818,27.30%,27.30%,45.30%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Bg5
"Slav Defense, Breyer Variation",,1174,D11,2018-07-09,2317,2307,43.10%,34.30%,22.60%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nbd2
"Slav Defense, Chameleon Variation",,7128,D15,2018-07-06,2300,2336,22.60%,39.80%,37.60%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 a6
"Slav Defense, Chameleon Variation, Advance System",,2797,D15,2018-06-23,2416,2388,39.00%,36.90%,24.10%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 a6 5.c5
"Slav Defense, Czech Variation",,136,D17,2018-06-04,2130,2123,47.80%,24.30%,27.90%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4 5.a4 Bf5
"Slav Defense, Czech Variation, Bled Attack",,1326,D17,2018-07-08,2475,2419,46.40%,34.50%,19.20%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4 5.a4 Bf5 6.Nh4
"Slav Defense, Czech Variation, Carlsbad Variation",,889,D17,2018-07-01,2331,2366,22.40%,38.50%,39.10%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4 5.a4 Bf5 6.Ne5 Nbd7 7.Nxc4 Qc7 8.g3 e5
"Slav Defense, Czech Variation, Carlsbad Variation, Morozevich Variation",,629,D17,2018-05-18,2370,2402,21.00%,40.50%,38.50%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4 5.a4 Bf5 6.Ne5 Nbd7 7.Nxc4 Qc7 8.g3 e5 9.dxe5 Nxe5 10.Bf4 Nfd7 11.Bg2 g5
"Slav Defense, Czech Variation, Classical System",,5529,D18,2018-07-09,2340,2321,34.80%,39.60%,25.60%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4 5.a4 Bf5 6.e3
"Slav Defense, Czech Variation, Classical System, Main Line",,1966,D19,2018-06-17,2352,2330,33.60%,41.00%,25.30%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4 5.a4 Bf5 6.e3 e6 7.Bxc4 Bb4 8.O-O O-O 9.Qe2
"Slav Defense, Czech Variation, Krause Attack",,2457,D17,2018-06-30,2420,2399,38.60%,35.30%,26.10%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4 5.a4 Bf5 6.Ne5
"Slav Defense, Czech Variation, Lasker Variation",,104,D18,2017-10-22,2255,2339,27.90%,20.20%,51.90%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4 5.a4 Bf5 6.e3 Na6
"Slav Defense, Czech Variation, Wiesbaden Variation",,1144,D17,2018-06-25,2277,2315,19.80%,37.50%,42.70%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4 5.a4 Bf5 6.Ne5 e6
"Slav Defense, Czech Variation, Wiesbaden Variation, Sharp line",,671,D17,2018-06-08,2483,2426,43.20%,39.20%,17.60%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4 5.a4 Bf5 6.Ne5 e6 7.f3 Bb4 8.e4
"Slav Defense, Exchange Variation",,7790,D10,2018-07-08,2258,2218,31.00%,44.10%,24.90%,1.d4 d5 2.c4 c6 3.cxd5
"Slav Defense, Exchange Variation",,4427,D13,2018-07-08,2242,2274,24.20%,49.90%,26.00%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.cxd5 cxd5
"Slav Defense, Exchange Variation, Schallopp Variation",,351,D12,2018-06-18,2296,2293,39.30%,31.60%,29.10%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.e3 Bf5 5.cxd5 cxd5 6.Nc3
"Slav Defense, Exchange Variation, Symmetrical Line",,3186,D14,2018-06-25,2313,2334,14.90%,68.50%,16.60%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.cxd5 cxd5 5.Nc3 Nc6 6.Bf4 Bf5
"Slav Defense, Exchange Variation, Trifunovic Variation",,486,D14,2018-06-24,2338,2380,15.80%,57.80%,26.30%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.cxd5 cxd5 5.Nc3 Nc6 6.Bf4 Bf5 7.e3 e6 8.Qb3 Bb4
"Slav Defense, Geller Gambit",,898,D15,2018-06-12,2316,2292,42.40%,24.40%,33.20%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4 5.e4 b5 6.e5
"Slav Defense, Geller Gambit",,290,D15,2018-06-24,1948,1973,30.30%,19.00%,50.70%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4 5.e4
"Slav Defense, General",,12592,D10,2018-07-09,2219,2240,25.40%,35.10%,39.50%,1.d4 d5 2.c4 c6
"Slav Defense, Modern Line",,11444,D11,2018-07-09,2353,2324,44.10%,33.80%,22.10%,1.d4 d5 2.c4 c6 3.Nf3
"Slav Defense, Quiet Variation",,8690,D11,2018-07-08,2391,2361,44.40%,36.80%,18.90%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.e3
"Slav Defense, Quiet Variation, Pin Defense",,4253,D12,2018-07-07,2323,2351,22.20%,42.40%,35.30%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.e3 Bg4
"Slav Defense, Quiet Variation, Schallopp Defense",,8294,D12,2018-07-08,2318,2335,23.50%,40.80%,35.70%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.e3 Bf5
"Slav Defense, Schlechter Variation",,2247,D15,2018-07-02,2127,2184,18.10%,31.20%,50.60%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 g6
"Slav Defense, Slav Gambit, Alekhine Attack",,688,D10,2018-06-11,2402,2364,42.70%,32.60%,24.70%,1.d4 d5 2.c4 c6 3.Nc3 dxc4 4.e4
"Slav Defense, Smyslov Variation",,656,D16,2018-07-03,2323,2351,25.60%,34.30%,40.10%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4 5.a4 Na6
"Slav Defense, Soultanbeieff Variation",,1184,D16,2018-07-08,2409,2446,21.30%,45.90%,32.90%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4 5.a4 e6
"Slav Defense, Steiner Variation",,1083,D16,2018-05-01,2275,2310,24.90%,30.90%,44.10%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4 5.a4 Bg4
"Slav Defense, Suchting Variation",,301,D15,2018-05-06,2254,2305,19.60%,35.50%,44.90%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 Qb6
"Slav Defense, Three Knights Variation",,2208,D15,2018-07-08,2072,2042,57.90%,22.80%,19.30%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3
"Slav Defense, Two Knights Attack",,372,D15,2018-07-05,2218,2229,33.60%,24.20%,42.20%,1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4
"Slav Defense, Winawer Countergambit",,605,D10,2018-03-25,2239,2261,26.60%,29.60%,43.80%,1.d4 d5 2.c4 c6 3.Nc3 e5
Slav Indian,,1514,A50,2018-07-05,2259,2300,26.40%,36.10%,37.50%,1.d4 Nf6 2.c4 c6
"Spanish Game, Alapin Defense",,218,C60,2018-06-23,2304,2311,30.30%,36.20%,33.50%,1.e4 e5 2.Nf3 Nc6 3.Bb5 Bb4
"Spanish Game, Berlin Defense",,519,C65,2018-06-23,2284,2210,51.60%,26.20%,22.20%,1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.O-O
"Spanish Game, Berlin Defense, Berlin Wall, J. Rogers Line",,535,C67,2018-05-19,2444,2473,23.60%,47.10%,29.40%,1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.O-O Nxe4 5.d4 Nd6 6.Bxc6 dxc6 7.dxe5 Nf5 8.Qxd8+ Kxd8 9.Nc3 Bd7
"Spanish Game, Berlin Defense, Beverwijk Variation",,1130,C65,2018-06-18,2105,2165,25.10%,28.40%,46.50%,1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.O-O Bc5
"Spanish Game, Berlin Defense, Closed Showalter Variation",,121,C66,2015-05-03,2528,2435,48.80%,36.40%,14.90%,1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.O-O d6 5.d4 Bd7 6.Nc3 Be7 7.Bxc6
"Spanish Game, Berlin Defense, Closed Wolf Variation",,209,C66,2018-06-05,2174,2236,20.60%,35.40%,44.00%,1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.O-O d6 5.d4 Bd7 6.Nc3 exd4
"Spanish Game, Berlin Defense, Hedgehog Variation",,440,C66,2018-06-11,2299,2356,21.40%,39.30%,39.30%,1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.O-O d6 5.d4 Bd7 6.Nc3 Be7
"Spanish Game, Berlin Defense, Improved Steinitz Defense",,985,C66,2018-06-30,1932,1988,24.40%,20.70%,54.90%,1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.O-O d6
"Spanish Game, Berlin Defense, Minckwitz Variation",,177,C67,2018-02-18,2473,2394,40.70%,39.50%,19.80%,1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.O-O Nxe4 5.d4 Be7 6.dxe5
"Spanish Game, Berlin Defense, Nyholm Attack",,176,C65,2018-05-18,2414,2406,29.00%,42.00%,29.00%,1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.d4 exd4 5.O-O
"Spanish Game, Berlin Defense, Rio Gambit Accepted",,2404,C67,2018-07-08,2341,2400,18.90%,57.00%,24.00%,1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.O-O Nxe4
"Spanish Game, Berlin Defense, Rio de Janeiro Variation",,453,C67,2018-04-12,2406,2450,24.10%,40.20%,35.80%,1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.O-O Nxe4 5.d4 Be7
"Spanish Game, Berlin Defense, Rosenthal Variation",,142,C67,2016-06-30,2386,2386,33.80%,38.00%,28.20%,1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.O-O Nxe4 5.d4 a6
"Spanish Game, Berlin Defense, l'Hermet Variation",,939,C67,2018-07-05,2358,2380,28.40%,44.00%,27.60%,1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.O-O Nxe4 5.d4 Nd6
"Spanish Game, Berlin Defense, l'Hermet Variation, Berlin Wall Defense",,3837,C67,2018-07-07,2421,2451,21.40%,49.90%,28.60%,1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.O-O Nxe4 5.d4 Nd6 6.Bxc6 dxc6 7.dxe5 Nf5 8.Qxd8+ Kxd8
"Spanish Game, Berlin Defense, l'Hermet Variation, Westerinen Line",,182,C67,2018-04-27,2364,2387,25.30%,39.60%,35.20%,1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.O-O Nxe4 5.d4 Nd6 6.Bxc6 dxc6 7.dxe5 Ne4
"Spanish Game, Bird Variation",,2017,C61,2018-07-02,2153,2215,26.30%,25.10%,48.60%,1.e4 e5 2.Nf3 Nc6 3.Bb5 Nd4
"Spanish Game, Classical Variation",,2292,C64,2018-07-08,2079,2093,28.50%,27.70%,43.80%,1.e4 e5 2.Nf3 Nc6 3.Bb5 Bc5
"Spanish Game, Classical Variation, Central Variation",,961,C64,2018-07-08,2227,2189,50.00%,26.60%,23.40%,1.e4 e5 2.Nf3 Nc6 3.Bb5 Bc5 4.c3
"Spanish Game, Classical Variation, Cordel Gambit",,368,C64,2018-05-25,2255,2277,29.10%,25.50%,45.40%,1.e4 e5 2.Nf3 Nc6 3.Bb5 Bc5 4.c3 f5
"Spanish Game, Classical Variation, Modern Main Line",,551,C64,2018-06-19,2356,2337,41.20%,30.90%,27.90%,1.e4 e5 2.Nf3 Nc6 3.Bb5 Bc5 4.O-O Nf6 5.c3 O-O 6.d4 Bb6 7.Bg5
